datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-25 16:07:11.004671;Btn2;pressed;True
2021-01-25 16:07:13.722098;Btn1;pressed;True
2021-01-25 16:07:15.695482;Btn1;pressed;True
2021-01-25 16:07:18.516351;Btn2;pressed;True
2021-01-25 16:07:20.040864;Btn2;pressed;True
2021-01-25 16:07:22.729539;Btn1;pressed;True
2021-01-25 16:07:24.674548;Btn1;pressed;True
2021-01-25 16:07:27.712221;Btn2;pressed;True
2021-01-25 16:07:28.975152;Btn2;pressed;True
2021-01-25 16:07:31.708745;Btn1;pressed;True
2021-01-25 16:07:33.679638;Btn1;pressed;True
2021-01-25 16:07:36.179285;Btn2;pressed;True
2021-01-25 16:07:36.179285;Btn2;pressed;True;False
datetime.utcnow;Btn_name;Action;In_Time_Interval
datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-25 17:50:31.200907;Btn2;pressed;False
datetime.utcnow;Btn_name;Action;In_Time_Interval
2021-01-25 17:51:10.105415;Btn2;pressed;True
2021-01-25 17:51:13.141412;Btn1;pressed;True
2021-01-25 17:51:14.411892;Btn1;pressed;True
2021-01-25 17:51:17.552054;Btn2;pressed;True
2021-01-25 17:51:19.108336;Btn2;pressed;True
